Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year
48,Gene Englund,F-C,32,BOS,24,,,2.3,6.2,.372,,,,2.3,6.2,.372,.372,3.6,4.4,.811,,,,0.7,,,,4.0,8.2,1950
48,Gene Englund,F-C,32,TRI,22,,,2.2,5.7,.389,,,,2.2,5.7,.389,.389,3.0,3.9,.767,,,,1.1,,,,3.2,7.5,1950
49,Bob Evans,G,24,INO,47,,,1.2,4.3,.280,,,,1.2,4.3,.280,.280,0.6,0.9,.682,,,,1.2,,,,2.1,3.0,1950
50,Johnny Ezersky,F-G,27,TOT,54,,,2.6,9.0,.294,,,,2.6,9.0,.294,.294,2.4,3.4,.694,,,,1.6,,,,2.6,7.6,1950
50,Johnny Ezersky,F-G,27,BLB,38,,,2.8,9.2,.305,,,,2.8,9.2,.305,.305,2.4,3.5,.697,,,,1.7,,,,2.6,8.1,1950
50,Johnny Ezersky,F-G,27,BOS,16,,,2.3,8.5,.265,,,,2.3,8.5,.265,.265,2.2,3.2,.686,,,,1.4,,,,2.4,6.7,1950
51,Bob Feerick,F-G,30,WSC,60,,,2.9,8.3,.344,,,,2.9,8.3,.344,.344,2.3,2.9,.799,,,,2.1,,,,2.3,8.1,1950
52,George Feigenbaum,G,21,BLB,12,,,1.2,4.8,.246,,,,1.2,4.8,.246,.246,0.7,1.5,.444,,,,0.8,,,,1.3,3.0,1950
53,Arnie Ferrin,F-G,24,MNL,63,,,2.1,6.3,.333,,,,2.1,6.3,.333,.333,1.2,1.7,.697,,,,1.5,,,,2.3,5.4,1950
54,Jerry Fleishman,SG,27,PHW,65,,,1.6,5.4,.289,,,,1.6,5.4,.289,.289,1.4,2.3,.616,,,,1.8,,,,2.0,4.6,1950
55,Joe Fulks*,PF,28,PHW,68,,,4.9,17.8,.278,,,,4.9,17.8,.278,.278,4.3,6.2,.696,,,,0.8,,,,3.5,14.2,1950
56,Bill Gabor,SG,27,SYR,56,,,4.0,12.0,.337,,,,4.0,12.0,.337,.337,2.8,4.1,.689,,,,1.9,,,,3.5,10.9,1950
57,Elmer Gainer,F-C,31,WAT,15,,,0.6,2.3,.257,,,,0.6,2.3,.257,.257,0.4,0.5,.750,,,,0.5,,,,1.9,1.6,1950
58,Harry Gallatin*,F-C,22,NYK,68,,,3.9,9.8,.396,,,,3.9,9.8,.396,.396,4.1,5.4,.757,,,,0.8,,,,3.2,11.8,1950
59,Vern Gardner,SG,24,PHW,63,,,5.0,14.5,.342,,,,5.0,14.5,.342,.342,3.6,4.7,.767,,,,1.9,,,,3.7,13.5,1950
60,Frank Gates,G,29,AND,64,,,1.8,6.3,.281,,,,1.8,6.3,.281,.281,1.0,1.5,.622,,,,1.4,,,,2.3,4.5,1950
61,Dee Gibson,F-G,26,TRI,44,,,1.8,5.6,.314,,,,1.8,5.6,.314,.314,2.9,4.0,.718,,,,2.9,,,,2.6,6.4,1950
62,Hoot Gibson,F-C,28,TOT,32,,,2.1,6.1,.344,,,,2.1,6.1,.344,.344,1.3,2.0,.656,,,,1.2,,,,3.3,5.5,1950
62,Hoot Gibson,F-C,28,BOS,2,,,1.5,2.0,.750,,,,1.5,2.0,.750,.750,0.5,2.0,.250,,,,0.5,,,,1.5,3.5,1950
62,Hoot Gibson,F-C,28,WAT,30,,,2.1,6.4,.335,,,,2.1,6.4,.335,.335,1.4,2.0,.683,,,,1.2,,,,3.4,5.6,1950
63,Chuck Gilmur,F-C,27,WSC,68,,,1.9,5.6,.335,,,,1.9,5.6,.335,.335,2.4,3.5,.680,,,,1.6,,,,4.0,6.1,1950
64,Normie Glick,F,22,MNL,1,,,1.0,1.0,1.000,,,,1.0,1.0,1.000,1.000,0.0,0.0,,,,,0.0,,,,1.0,2.0,1950
65,Paul Gordon,F,22,BLB,4,,,0.0,1.5,.000,,,,0.0,1.5,.000,.000,0.8,1.3,.600,,,,0.8,,,,0.8,0.8,1950
66,Joe Graboski,F-C,20,CHS,57,,,1.3,4.3,.304,,,,1.3,4.3,.304,.304,0.9,1.6,.596,,,,0.6,,,,1.7,3.6,1950
67,Bud Grant,F,22,MNL,35,,,1.2,3.3,.365,,,,1.2,3.3,.365,.365,0.2,0.5,.412,,,,0.5,,,,1.0,2.6,1950
68,Don Grate,F-G,26,SHE,2,,,0.5,3.0,.167,,,,0.5,3.0,.167,.167,1.0,1.0,1.000,,,,1.5,,,,1.5,2.0,1950
69,Alex Groza,C,23,INO,64,,,8.1,17.0,.478,,,,8.1,17.0,.478,.478,7.1,9.7,.729,,,,2.5,,,,3.5,23.4,1950
70,Al Guokas,F-G,24,TOT,57,,,1.6,5.2,.311,,,,1.6,5.2,.311,.311,0.5,0.9,.560,,,,1.7,,,,2.5,3.8,1950
70,Al Guokas,F-G,24,DNN,41,,,2.1,6.6,.317,,,,2.1,6.6,.317,.317,0.6,1.1,.532,,,,2.1,,,,2.8,4.8,1950
70,Al Guokas,F-G,24,PHW,16,,,0.4,1.8,.250,,,,0.4,1.8,.250,.250,0.2,0.2,1.000,,,,0.6,,,,1.7,1.1,1950
71,Robert Hahn,C,24,CHS,10,,,0.4,1.3,.308,,,,0.4,1.3,.308,.308,0.2,0.7,.286,,,,0.1,,,,1.7,1.0,1950
72,Chick Halbert,C,30,WSC,68,,,1.6,4.2,.380,,,,1.6,4.2,.380,.380,1.6,2.6,.640,,,,1.3,,,,2.0,4.8,1950
73,Bruce Hale,G-F,31,INO,64,,,3.4,9.6,.353,,,,3.4,9.6,.353,.353,3.5,4.5,.782,,,,3.5,,,,2.2,10.3,1950
74,Dale Hamilton,G-F,30,WAT,14,,,0.6,2.4,.242,,,,0.6,2.4,.242,.242,0.6,1.4,.474,,,,1.2,,,,2.1,1.8,1950
75,Alex Hannum*,PF,26,SYR,64,,,2.8,7.6,.363,,,,2.8,7.6,.363,.363,2.0,2.9,.688,,,,2.0,,,,4.1,7.5,1950
76,John Hargis,G-F,29,AND,60,,,3.7,9.2,.405,,,,3.7,9.2,.405,.405,3.3,4.6,.711,,,,1.7,,,,2.8,10.7,1950
77,Bob Harris,F-C,22,FTW,62,,,2.7,7.5,.361,,,,2.7,7.5,.361,.361,2.3,3.6,.628,,,,2.1,,,,3.1,7.7,1950
78,Bob Harrison,G,22,MNL,66,,,1.9,5.3,.359,,,,1.9,5.3,.359,.359,0.8,1.1,.676,,,,2.0,,,,2.7,4.5,1950
79,Billy Hassett,G,28,TOT,60,,,1.4,5.0,.278,,,,1.4,5.0,.278,.278,1.7,2.7,.646,,,,2.3,,,,2.3,4.5,1950
79,Billy Hassett,G,28,TRI,18,,,2.6,8.7,.293,,,,2.6,8.7,.293,.293,3.8,5.2,.734,,,,3.8,,,,3.0,8.9,1950
79,Billy Hassett,G,28,MNL,42,,,0.9,3.5,.262,,,,0.9,3.5,.262,.262,0.8,1.6,.522,,,,1.6,,,,2.0,2.6,1950
