Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year
74,Bob Pettit*,PF,22,MLH,72,,36.9,7.2,17.8,.407,,,,7.2,17.8,.407,.407,5.9,7.9,.751,,,13.8,3.2,,,,3.6,20.4,1955
75,Andy Phillip*,PG,32,FTW,64,,36.4,3.2,8.5,.371,,,,3.2,8.5,.371,.371,3.3,4.8,.692,,,4.5,7.7,,,,2.6,9.6,1955
76,Jim Pollard*,SF,32,MNL,63,,31.1,4.2,11.9,.354,,,,4.2,11.9,.354,.354,2.4,3.0,.812,,,7.3,2.5,,,,2.3,10.8,1955
77,Frank Ramsey*,SF,23,BOS,64,,27.4,3.7,9.3,.399,,,,3.7,9.3,.399,.399,3.8,5.0,.755,,,6.3,2.9,,,,3.9,11.2,1955
78,George Ratkovicz,PF,32,MLH,9,,11.3,0.3,2.1,.158,,,,0.3,2.1,.158,.158,1.1,2.6,.435,,,1.9,1.4,,,,1.7,1.8,1955
79,Arnie Risen*,C,30,ROC,69,,28.6,3.8,10.1,.371,,,,3.8,10.1,.371,.371,4.0,5.4,.744,,,10.2,1.6,,,,3.7,11.6,1955
80,Red Rocha,C,31,SYR,72,,34.3,4.1,11.1,.368,,,,4.1,11.1,.368,.368,3.1,3.9,.782,,,6.8,2.5,,,,3.4,11.3,1955
81,Al Roges,SG,24,TOT,17,,11.8,1.4,3.6,.377,,,,1.4,3.6,.377,.377,0.9,1.4,.625,,,1.4,1.1,,,,1.2,3.6,1955
81,Al Roges,G-F,24,BLB,13,,12.2,1.5,4.0,.385,,,,1.5,4.0,.385,.385,0.8,1.3,.647,,,1.6,1.3,,,,1.1,3.9,1955
81,Al Roges,SG,24,FTW,4,,10.5,0.8,2.3,.333,,,,0.8,2.3,.333,.333,1.0,1.8,.571,,,0.8,0.5,,,,1.5,2.5,1955
82,Dick Rosenthal,SF,25,FTW,67,,21.0,2.9,7.8,.377,,,,2.9,7.8,.377,.377,1.9,2.7,.718,,,4.5,2.3,,,,2.7,7.8,1955
83,Pep Saul,SG,30,MLH,65,,17.5,1.5,4.7,.317,,,,1.5,4.7,.317,.317,1.5,1.9,.772,,,2.1,1.6,,,,1.9,4.4,1955
84,Dolph Schayes*,PF,26,SYR,72,,35.1,5.9,15.3,.383,,,,5.9,15.3,.383,.383,6.8,8.2,.833,,,12.3,3.0,,,,3.4,18.5,1955
85,Dick Schnittker,SF,26,MNL,72,,25.0,3.1,8.1,.388,,,,3.1,8.1,.388,.388,4.1,5.0,.823,,,4.8,1.6,,,,3.2,10.4,1955
86,Fred Scolari,PG,32,BOS,59,,10.5,1.3,4.2,.305,,,,1.3,4.2,.305,.305,0.7,0.8,.796,,,1.3,1.6,,,,1.3,3.2,1955
87,Frank Selvy,SF,22,TOT,71,,37.6,6.4,16.8,.378,,,,6.4,16.8,.378,.378,6.3,8.6,.728,,,5.5,3.5,,,,3.2,19.0,1955
87,Frank Selvy,G-F,22,BLB,11,,39.3,7.7,20.5,.378,,,,7.7,20.5,.378,.378,6.6,9.1,.730,,,7.0,2.7,,,,3.2,22.1,1955
87,Frank Selvy,SF,22,MLH,60,,37.3,6.1,16.2,.378,,,,6.1,16.2,.378,.378,6.2,8.5,.727,,,5.3,3.6,,,,3.3,18.4,1955
88,Paul Seymour,SG,27,SYR,72,,41.0,5.2,14.4,.362,,,,5.2,14.4,.362,.362,4.2,5.1,.811,,,4.3,6.7,,,,1.9,14.6,1955
89,Chuck Share,C,27,MLH,69,,24.4,3.4,8.4,.407,,,,3.4,8.4,.407,.407,5.1,7.1,.713,,,9.9,1.2,,,,4.0,11.9,1955
90,Bill Sharman*,SG,28,BOS,68,,36.1,6.7,15.6,.427,,,,6.7,15.6,.427,.427,5.1,5.7,.897,,,4.4,4.1,,,,3.1,18.4,1955
91,Gene Shue,PG,23,TOT,62,,15.3,1.6,4.7,.346,,,,1.6,4.7,.346,.346,1.0,1.3,.756,,,2.5,1.4,,,,1.0,4.2,1955
91,Gene Shue,PG,23,PHW,6,,10.8,0.5,2.5,.200,,,,0.5,2.5,.200,.200,0.8,1.0,.833,,,1.7,1.8,,,,0.7,1.8,1955
91,Gene Shue,PG,23,NYK,56,,15.8,1.7,4.9,.354,,,,1.7,4.9,.354,.354,1.0,1.3,.750,,,2.6,1.4,,,,1.1,4.4,1955
92,Connie Simmons,C,29,TOT,36,,23.9,3.8,10.7,.357,,,,3.8,10.7,.357,.357,2.0,3.2,.632,,,6.1,1.7,,,,3.0,9.6,1955
92,Connie Simmons,C-F,29,BLB,11,,32.3,5.4,14.5,.369,,,,5.4,14.5,.369,.369,3.0,4.4,.688,,,7.4,1.8,,,,3.6,13.7,1955
92,Connie Simmons,C,29,SYR,25,,20.3,3.1,9.0,.348,,,,3.1,9.0,.348,.348,1.6,2.6,.591,,,5.6,1.6,,,,2.8,7.8,1955
93,Whitey Skoog,SG,28,MNL,72,,32.8,4.6,11.6,.395,,,,4.6,11.6,.395,.395,1.7,2.2,.806,,,4.2,3.5,,,,3.7,10.9,1955
94,Odie Spears,SF,30,ROC,71,,26.6,3.2,8.2,.386,,,,3.2,8.2,.386,.386,3.1,3.8,.812,,,4.2,2.1,,,,3.5,9.5,1955
95,Art Spoelstra,C,22,ROC,70,,16.1,2.3,5.7,.398,,,,2.3,5.7,.398,.398,1.5,2.2,.692,,,4.1,0.8,,,,2.4,6.1,1955
96,Don Sunderlage,SG,25,MNL,45,,9.0,0.7,3.0,.248,,,,0.7,3.0,.248,.248,1.1,1.6,.658,,,1.2,0.8,,,,1.3,2.5,1955
97,Jim Tucker,PF,22,SYR,20,,14.4,2.0,5.8,.336,,,,2.0,5.8,.336,.336,1.4,1.9,.711,,,4.9,0.6,,,,2.5,5.3,1955
98,Jack Turner,SF,24,NYK,65,,14.2,1.7,4.7,.360,,,,1.7,4.7,.360,.360,0.9,1.2,.789,,,2.4,1.2,,,,1.2,4.3,1955
99,Paul Walther,SG,27,FTW,68,,12.1,0.8,2.4,.348,,,,0.8,2.4,.348,.348,0.8,1.3,.614,,,2.3,1.9,,,,1.7,2.4,1955
100,Bobby Wanzer*,SG,33,ROC,72,,33.0,4.5,11.4,.395,,,,4.5,11.4,.395,.395,4.1,5.2,.786,,,5.2,3.4,,,,2.3,13.1,1955
101,Bobby Watson,PG,24,TOT,63,,11.1,1.1,3.5,.323,,,,1.1,3.5,.323,.323,0.5,0.7,.689,,,1.4,1.3,,,,1.1,2.8,1955
101,Bobby Watson,PG,24,MNL,50,,10.9,1.2,3.5,.358,,,,1.2,3.5,.358,.358,0.4,0.7,.629,,,1.3,1.2,,,,1.1,2.9,1955
101,Bobby Watson,PG,24,MLH,13,,12.0,0.8,3.8,.200,,,,0.8,3.8,.200,.200,0.7,0.8,.900,,,1.8,1.3,,,,0.8,2.2,1955
102,Skippy Whitaker,PG,24,BOS,3,,5.0,0.3,2.0,.167,,,,0.3,2.0,.167,.167,0.0,0.0,,,,0.3,0.3,,,,1.3,0.7,1955
103,George Yardley*,SF,26,FTW,60,,35.8,6.1,14.5,.418,,,,6.1,14.5,.418,.418,5.2,6.9,.745,,,9.9,2.1,,,,3.4,17.3,1955
104,Max Zaslofsky,SG,29,FTW,70,,26.6,3.8,11.7,.328,,,,3.8,11.7,.328,.328,3.5,5.0,.702,,,2.7,2.9,,,,1.9,11.2,1955
105,Zeke Zawoluk,PF,24,PHW,67,,16.7,2.1,5.6,.368,,,,2.1,5.6,.368,.368,2.3,3.0,.779,,,3.8,1.3,,,,2.2,6.4,1955
1,Paul Arizin*,SF,27,PHW,72,,37.8,8.6,19.1,.448,,,,8.6,19.1,.448,.448,7.0,8.7,.810,,,7.5,2.6,,,,3.9,24.2,1956
2,Jesse Arnelle,PF,22,FTW,31,,13.2,1.7,5.3,.317,,,,1.7,5.3,.317,.317,1.4,2.2,.623,,,5.5,0.6,,,,1.9,4.7,1956
3,Dick Atha,SG,24,NYK,25,,11.5,1.4,3.5,.409,,,,1.4,3.5,.409,.409,0.8,1.1,.778,,,1.7,1.3,,,,1.6,3.7,1956
4,Jim Baechtold,SF,28,NYK,70,,24.8,3.8,9.9,.386,,,,3.8,9.9,.386,.386,3.3,4.2,.801,,,3.1,2.3,,,,2.2,11.0,1956
5,Ernie Barrett,SG,26,BOS,72,,20.2,2.9,7.4,.388,,,,2.9,7.4,.388,.388,1.3,1.6,.788,,,3.4,2.4,,,,2.6,7.0,1956
6,Ernie Beck,SG,24,PHW,67,,15.0,2.0,5.2,.387,,,,2.0,5.2,.387,.387,1.1,1.6,.717,,,2.9,1.2,,,,1.3,5.2,1956
7,Don Bielke,C,23,FTW,7,,5.4,0.7,1.3,.556,,,,0.7,1.3,.556,.556,0.6,1.0,.571,,,1.3,0.1,,,,1.3,2.0,1956
8,Carl Braun*,SG,28,NYK,72,,32.2,5.5,14.8,.372,,,,5.5,14.8,.372,.372,4.4,5.3,.838,,,3.6,4.1,,,,3.0,15.4,1956
9,Frankie Brian,PG,32,FTW,37,,18.4,2.1,7.1,.297,,,,2.1,7.1,.297,.297,1.9,2.4,.818,,,2.4,2.0,,,,1.7,6.2,1956
10,Nat Clifton*,PF,33,NYK,64,,24.0,3.3,8.5,.394,,,,3.3,8.5,.394,.394,2.1,3.0,.707,,,6.0,2.4,,,,3.0,8.8,1956
11,Jack Coleman,PF,31,TOT,75,,36.5,5.2,12.6,.412,,,,5.2,12.6,.412,.412,2.4,3.3,.711,,,9.2,3.9,,,,3.2,12.8,1956
11,Jack Coleman,PF,31,ROC,34,,40.3,5.7,13.9,.412,,,,5.7,13.9,.412,.412,2.6,3.7,.712,,,10.1,4.3,,,,3.6,14.1,1956
11,Jack Coleman,PF,31,STL,41,,33.4,4.8,11.5,.412,,,,4.8,11.5,.412,.412,2.1,3.0,.710,,,8.4,3.6,,,,3.0,11.7,1956
12,Ed Conlin,SF,22,SYR,66,,21.6,3.2,8.7,.368,,,,3.2,8.7,.368,.368,1.8,2.7,.680,,,4.9,2.2,,,,1.8,8.2,1956
13,Chuck Cooper*,SF,29,TOT,67,,17.1,1.5,4.6,.328,,,,1.5,4.6,.328,.328,1.5,2.0,.752,,,3.6,1.3,,,,2.1,4.5,1956
13,Chuck Cooper*,F,29,STL,35,,16.4,1.7,4.9,.337,,,,1.7,4.9,.337,.337,1.8,2.4,.738,,,3.9,1.7,,,,2.0,5.1,1956
13,Chuck Cooper*,SF,29,FTW,32,,17.8,1.3,4.3,.316,,,,1.3,4.3,.316,.316,1.2,1.5,.776,,,3.2,0.9,,,,2.2,3.9,1956
14,Bob Cousy*,PG,27,BOS,72,,38.4,6.1,17.0,.360,,,,6.1,17.0,.360,.360,6.6,7.8,.844,,,6.8,8.9,,,,2.9,18.8,1956
15,Red Davis,C,23,ROC,3,,5.3,0.0,2.0,.000,,,,0.0,2.0,.000,.000,0.7,0.7,1.000,,,1.3,0.3,,,,0.7,0.7,1956
16,Walt Davis,PF,25,PHW,70,,15.7,1.8,4.8,.369,,,,1.8,4.8,.369,.369,1.1,1.6,.688,,,3.9,0.8,,,,3.3,4.6,1956
17,George Dempsey,PG,26,PHW,72,,20.1,1.8,3.7,.475,,,,1.8,3.7,.475,.475,1.2,1.9,.633,,,3.7,2.8,,,,2.0,4.7,1956
18,Corky Devlin,SG,24,FTW,69,,22.2,2.9,7.8,.370,,,,2.9,7.8,.370,.370,2.1,2.8,.760,,,2.5,2.0,,,,1.7,7.9,1956
19,Walter Dukes,C,25,NYK,60,,21.5,2.5,6.2,.403,,,,2.5,6.2,.403,.403,2.8,3.9,.708,,,7.4,0.7,,,,3.5,7.8,1956
20,Dick Farley,SG,23,SYR,72,,19.8,2.3,6.3,.373,,,,2.3,6.3,.373,.373,2.0,2.9,.691,,,2.3,2.1,,,,2.1,6.7,1956
21,Ron Feiereisel,G,24,MNL,10,,5.9,0.8,2.8,.286,,,,0.8,2.8,.286,.286,1.4,1.6,.875,,,0.6,0.6,,,,0.9,3.0,1956
22,Ray Felix,C,25,NYK,72,,23.6,3.8,9.3,.415,,,,3.8,9.3,.415,.415,4.6,6.5,.706,,,8.7,0.7,,,,4.1,12.3,1956
23,Al Ferrari,SF,22,STL,68,,23.7,2.8,7.9,.358,,,,2.8,7.9,.358,.358,2.4,3.5,.695,,,2.7,2.4,,,,2.8,8.0,1956
24,Ed Fleming,SG,22,ROC,71,,28.6,4.3,11.6,.371,,,,4.3,11.6,.371,.371,3.9,5.2,.745,,,6.9,2.8,,,,2.5,12.5,1956
25,Larry Foust,C,27,FTW,72,,28.1,5.1,11.4,.447,,,,5.1,11.4,.447,.447,6.0,7.7,.778,,,9.0,1.8,,,,3.7,16.2,1956
26,Harry Gallatin*,SF,28,NYK,72,,33.0,4.5,11.6,.386,,,,4.5,11.6,.386,.386,5.0,6.3,.787,,,10.3,2.3,,,,3.1,13.9,1956
27,Dick Garmaker,SG,23,MNL,68,,12.8,2.0,5.5,.370,,,,2.0,5.5,.370,.370,1.6,2.0,.806,,,1.9,1.5,,,,1.9,5.7,1956
28,Jack George,PG,27,PHW,72,,39.4,4.9,13.1,.374,,,,4.9,13.1,.374,.374,4.1,5.4,.757,,,4.3,6.3,,,,2.8,13.9,1956
29,Tom Gola*,SG,23,PHW,68,,34.5,3.6,8.7,.412,,,,3.6,8.7,.412,.412,3.6,4.9,.733,,,9.1,5.9,,,,4.0,10.8,1956
30,Joe Graboski,PF,26,PHW,72,,33.0,5.5,14.9,.369,,,,5.5,14.9,.369,.369,3.3,4.7,.706,,,8.9,2.6,,,,3.8,14.4,1956
31,Alex Hannum*,PF,32,STL,71,,20.8,2.1,6.4,.322,,,,2.1,6.4,.322,.322,1.3,2.2,.604,,,4.8,2.2,,,,3.8,5.4,1956
32,Chris Harris,SG,22,TOT,41,,10.2,0.9,3.6,.248,,,,0.9,3.6,.248,.248,0.7,1.1,.600,,,1.1,1.1,,,,1.0,2.5,1956
32,Chris Harris,SG,22,STL,15,,11.2,1.0,4.0,.250,,,,1.0,4.0,.250,.250,0.7,1.2,.611,,,1.2,1.2,,,,1.1,2.7,1956
32,Chris Harris,SG,22,ROC,26,,9.7,0.8,3.4,.247,,,,0.8,3.4,.247,.247,0.6,1.0,.593,,,1.0,1.0,,,,1.0,2.3,1956
33,Bob Harrison,PG,28,STL,72,,30.8,3.6,10.1,.359,,,,3.6,10.1,.359,.359,1.3,2.0,.664,,,2.7,3.8,,,,3.4,8.6,1956
34,Dick Hemric,PF,22,BOS,71,,18.7,2.3,5.6,.403,,,,2.3,5.6,.403,.403,2.5,3.8,.648,,,5.6,0.8,,,,2.0,7.0,1956
35,Larry Hennessy,SG,26,PHW,53,,8.4,1.6,4.7,.344,,,,1.6,4.7,.344,.344,0.5,0.6,.813,,,0.9,0.9,,,,0.7,3.7,1956
36,Lew Hitch,PF,26,MNL,69,,16.4,1.4,3.4,.400,,,,1.4,3.4,.400,.400,1.4,1.9,.758,,,4.1,1.1,,,,1.2,4.2,1956
37,Jim Holstein,SF,25,FTW,27,,13.0,0.9,3.3,.270,,,,0.9,3.3,.270,.270,0.9,1.4,.649,,,2.8,1.4,,,,1.9,2.7,1956
38,Johnny Horan,F,23,TOT,19,,4.9,0.6,2.2,.286,,,,0.6,2.2,.286,.286,0.5,0.6,.909,,,0.5,0.1,,,,1.1,1.8,1956
38,Johnny Horan,F,23,FTW,7,,6.1,1.1,3.7,.308,,,,1.1,3.7,.308,.308,0.9,0.9,1.000,,,0.6,0.1,,,,2.0,3.1,1956
38,Johnny Horan,F,23,MNL,12,,4.2,0.3,1.3,.250,,,,0.3,1.3,.250,.250,0.3,0.4,.800,,,0.5,0.1,,,,0.6,1.0,1956
39,Bob Houbregs*,C,23,FTW,70,,21.9,3.5,8.2,.430,,,,3.5,8.2,.430,.430,4.0,5.5,.739,,,5.9,2.3,,,,2.1,11.1,1956
40,Mel Hutchins,PF,27,FTW,66,,33.9,4.9,11.6,.425,,,,4.9,11.6,.425,.425,2.2,3.3,.643,,,7.5,2.7,,,,2.5,12.0,1956
41,Neil Johnston*,C,26,PHW,70,,37.1,7.1,15.6,.457,,,,7.1,15.6,.457,.457,7.8,9.8,.801,,,12.5,3.2,,,,3.6,22.1,1956
42,Ed Kalafat,SF,23,MNL,72,,22.8,2.7,7.5,.359,,,,2.7,7.5,.359,.359,2.6,3.5,.738,,,6.1,1.8,,,,3.3,8.0,1956
43,Billy Kenville,PG,25,SYR,72,,17.8,2.4,6.2,.379,,,,2.4,6.2,.379,.379,2.7,3.6,.759,,,3.0,2.2,,,,1.8,7.4,1956
44,Red Kerr,C,23,SYR,72,,29.4,5.2,13.0,.403,,,,5.2,13.0,.403,.403,2.9,4.4,.655,,,8.4,1.2,,,,2.3,13.3,1956
45,George King,PG,27,SYR,72,,32.5,3.9,10.6,.372,,,,3.9,10.6,.372,.372,2.4,3.8,.640,,,3.5,5.7,,,,2.1,10.3,1956
46,Earl Lloyd*,SF,27,SYR,72,,25.5,3.0,8.8,.335,,,,3.0,8.8,.335,.335,2.6,3.3,.772,,,6.8,1.6,,,,3.7,8.5,1956
47,Jim Loscutoff,SF,25,BOS,71,,22.3,3.2,8.8,.360,,,,3.2,8.8,.360,.360,2.0,2.9,.671,,,8.8,0.9,,,,3.0,8.3,1956
48,Clyde Lovellette*,C,26,MNL,71,,35.5,8.4,19.3,.434,,,,8.4,19.3,.434,.434,4.8,6.6,.721,,,14.0,2.3,,,,3.5,21.5,1956
49,Ed Macauley*,C,27,BOS,71,,33.2,5.9,14.0,.422,,,,5.9,14.0,.422,.422,5.6,7.1,.794,,,5.9,3.0,,,,2.2,17.5,1956
50,Slater Martin*,PG,30,MNL,72,,39.4,4.3,12.0,.358,,,,4.3,12.0,.358,.358,4.6,5.5,.833,,,3.6,6.2,,,,2.8,13.2,1956
51,Dick McGuire*,PG,30,NYK,62,,27.2,2.5,7.1,.347,,,,2.5,7.1,.347,.347,2.0,3.1,.627,,,3.5,5.8,,,,2.4,6.9,1956
52,Jack McMahon,PG,27,TOT,70,,24.5,2.9,8.8,.328,,,,2.9,8.8,.328,.328,1.6,2.6,.595,,,2.6,3.2,,,,2.4,7.3,1956
52,Jack McMahon,G,27,ROC,34,,25.2,2.9,9.0,.326,,,,2.9,9.0,.326,.326,1.6,2.6,.611,,,2.5,3.4,,,,2.5,7.5,1956
52,Jack McMahon,PG,27,STL,36,,23.8,2.8,8.6,.331,,,,2.8,8.6,.331,.331,1.5,2.6,.579,,,2.6,3.0,,,,2.4,7.2,1956
53,Monk Meineke,PF,25,ROC,69,,18.1,2.2,6.0,.372,,,,2.2,6.0,.372,.372,2.6,3.4,.780,,,4.6,1.5,,,,2.8,7.1,1956
54,Chuck Mencel,PG,22,MNL,69,,14.1,1.7,5.4,.320,,,,1.7,5.4,.320,.320,1.1,1.4,.813,,,1.6,1.9,,,,1.1,4.6,1956
55,George Mikan*,C,31,MNL,37,,20.7,4.0,10.1,.395,,,,4.0,10.1,.395,.395,2.5,3.3,.770,,,8.3,1.4,,,,4.1,10.5,1956
56,Vern Mikkelsen*,PF,27,MNL,72,,29.2,4.4,11.4,.386,,,,4.4,11.4,.386,.386,4.6,5.7,.804,,,8.4,2.4,,,,4.4,13.4,1956
57,Jackie Moore,SF,23,PHW,54,,7.4,0.9,2.4,.388,,,,0.9,2.4,.388,.388,0.6,1.0,.604,,,2.2,0.5,,,,1.5,2.4,1956
58,Red Morrison,C,23,BOS,71,,12.8,1.3,3.4,.371,,,,1.3,3.4,.371,.371,0.6,1.3,.494,,,4.9,0.7,,,,2.2,3.1,1956
59,Jack Nichols,PF,29,BOS,60,,32.7,5.5,13.3,.413,,,,5.5,13.3,.413,.413,3.3,4.2,.791,,,10.4,2.7,,,,3.8,14.3,1956
60,Chuck Noble,SG,24,FTW,72,,28.0,3.8,10.7,.352,,,,3.8,10.7,.352,.352,2.0,2.7,.749,,,3.6,3.9,,,,3.5,9.5,1956
61,Togo Palazzi,SF,23,BOS,63,,11.2,2.3,5.9,.389,,,,2.3,5.9,.389,.389,1.3,2.0,.685,,,2.9,0.7,,,,1.4,6.0,1956
62,Med Park,SF,22,STL,40,,10.6,1.3,3.8,.349,,,,1.3,3.8,.349,.349,1.1,1.8,.629,,,2.4,1.0,,,,1.6,3.8,1956
63,Bob Peterson,SF,24,NYK,58,,13.4,2.1,5.2,.399,,,,2.1,5.2,.399,.399,1.2,1.8,.654,,,3.8,0.8,,,,2.1,5.3,1956
64,Bob Pettit*,C,23,STL,72,,38.8,9.0,20.9,.429,,,,9.0,20.9,.429,.429,7.7,10.5,.736,,,16.2,2.6,,,,2.8,25.7,1956
65,Andy Phillip*,PG,33,FTW,70,,29.7,2.1,5.8,.365,,,,2.1,5.8,.365,.365,1.6,2.8,.563,,,3.7,5.9,,,,2.2,5.8,1956
66,Richie Regan,PG,25,ROC,72,,24.3,3.3,9.5,.352,,,,3.3,9.5,.352,.352,1.2,1.8,.639,,,2.4,3.1,,,,2.5,7.8,1956
67,Dick Ricketts,PF,22,TOT,68,,28.6,3.5,11.1,.313,,,,3.5,11.1,.313,.313,2.0,2.9,.708,,,7.2,3.0,,,,4.2,8.9,1956
67,Dick Ricketts,PF,22,STL,29,,26.8,3.2,10.4,.312,,,,3.2,10.4,.312,.312,1.9,2.7,.705,,,6.8,2.8,,,,4.0,8.4,1956
67,Dick Ricketts,PF,22,ROC,39,,29.9,3.6,11.6,.313,,,,3.6,11.6,.313,.313,2.1,3.0,.709,,,7.5,3.2,,,,4.4,9.4,1956
68,Arnie Risen*,C,31,BOS,68,,23.5,2.8,7.3,.383,,,,2.8,7.3,.383,.383,2.5,3.5,.708,,,8.1,1.3,,,,4.4,8.1,1956
69,Red Rocha,C,32,SYR,72,,26.2,3.5,9.6,.361,,,,3.5,9.6,.361,.361,3.1,3.9,.783,,,5.8,1.8,,,,3.4,10.0,1956
70,Bob Santini,F,20,NYK,4,,5.8,1.3,2.5,.500,,,,1.3,2.5,.500,.500,0.3,0.5,.500,,,0.8,0.3,,,,1.0,2.8,1956
71,Bob Schafer,SG,22,TOT,54,,10.7,1.5,5.0,.300,,,,1.5,5.0,.300,.300,1.1,1.5,.765,,,1.3,1.0,,,,1.4,4.1,1956
71,Bob Schafer,SG,22,PHW,12,,6.8,1.0,2.9,.343,,,,1.0,2.9,.343,.343,0.6,1.0,.583,,,1.1,0.8,,,,1.2,2.6,1956
71,Bob Schafer,SG,22,STL,42,,11.8,1.6,5.6,.294,,,,1.6,5.6,.294,.294,1.3,1.6,.797,,,1.4,1.0,,,,1.5,4.6,1956
72,Dolph Schayes*,PF,27,SYR,72,,35.0,6.5,16.7,.387,,,,6.5,16.7,.387,.387,7.5,8.8,.858,,,12.4,2.8,,,,3.5,20.4,1956
73,Dick Schnittker,SF,27,MNL,72,,26.8,3.5,9.0,.393,,,,3.5,9.0,.393,.393,4.2,4.9,.856,,,4.1,2.0,,,,3.5,11.3,1956
74,Kenny Sears,PF,22,NYK,70,,29.6,4.6,10.4,.438,,,,4.6,10.4,.438,.438,3.7,4.6,.796,,,8.8,1.6,,,,2.9,12.8,1956
75,Frank Selvy,SG,23,STL,17,,26.1,3.9,10.8,.366,,,,3.9,10.8,.366,.366,3.1,4.2,.746,,,3.2,2.1,,,,2.2,11.0,1956
76,Paul Seymour,SG,28,SYR,57,,32.0,4.0,11.8,.339,,,,4.0,11.8,.339,.339,3.3,4.1,.807,,,2.7,4.8,,,,2.3,11.3,1956
77,Chuck Share,C,28,STL,72,,27.4,4.4,10.2,.430,,,,4.4,10.2,.430,.430,4.8,6.9,.695,,,10.8,1.8,,,,4.4,13.6,1956
78,Bill Sharman*,SG,29,BOS,72,,37.5,7.5,17.1,.438,,,,7.5,17.1,.438,.438,5.0,5.7,.867,,,3.6,4.7,,,,2.7,19.9,1956
79,Gene Shue,PG,24,NYK,72,,24.3,3.3,8.7,.384,,,,3.3,8.7,.384,.384,2.5,3.3,.764,,,2.9,2.5,,,,1.5,9.2,1956
80,Connie Simmons,PF,30,ROC,68,,13.3,2.1,6.3,.336,,,,2.1,6.3,.336,.336,1.1,1.9,.605,,,3.5,1.2,,,,2.1,5.4,1956
81,Whitey Skoog,SG,29,MNL,72,,32.1,4.7,11.9,.398,,,,4.7,11.9,.398,.398,2.2,2.7,.803,,,4.0,3.5,,,,3.2,11.6,1956
82,Odie Spears,SF,31,FTW,72,,19.1,2.3,6.5,.355,,,,2.3,6.5,.355,.355,2.2,2.8,.791,,,3.2,1.7,,,,2.7,6.8,1956
83,Art Spoelstra,C,23,ROC,72,,22.8,3.1,8.0,.392,,,,3.1,8.0,.392,.392,2.3,3.3,.685,,,6.1,1.3,,,,3.4,8.5,1956
84,Jack Stephens,SG,22,STL,72,,30.8,3.4,8.9,.386,,,,3.4,8.9,.386,.386,3.4,5.0,.692,,,5.2,2.9,,,,2.0,10.3,1956
85,Maurice Stokes*,C,22,ROC,67,,34.7,6.0,17.0,.354,,,,6.0,17.0,.354,.354,4.8,6.7,.714,,,16.3,4.9,,,,4.1,16.8,1956
86,Jim Tucker,PF,23,SYR,70,,12.8,1.4,4.1,.348,,,,1.4,4.1,.348,.348,0.9,1.2,.795,,,3.3,0.5,,,,2.4,3.8,1956
87,Jack Twyman*,SF,21,ROC,72,,30.4,5.8,13.7,.422,,,,5.8,13.7,.422,.422,2.8,4.1,.685,,,6.5,2.4,,,,3.3,14.4,1956
88,Ernie Vandeweghe,F-G,27,NYK,5,,15.4,2.0,6.2,.323,,,,2.0,6.2,.323,.323,0.4,0.4,1.000,,,2.6,2.4,,,,3.0,4.4,1956
89,Bobby Wanzer*,PG,34,ROC,72,,27.5,3.4,9.0,.376,,,,3.4,9.0,.376,.376,3.6,5.0,.719,,,3.8,3.1,,,,2.1,10.4,1956
90,Bob Williams,F,24,MNL,20,,8.7,1.1,2.3,.457,,,,1.1,2.3,.457,.457,1.2,2.3,.533,,,2.7,0.4,,,,1.8,3.3,1956
91,George Yardley*,SF,27,FTW,71,,33.1,6.1,15.0,.407,,,,6.1,15.0,.407,.407,5.1,6.9,.742,,,9.7,2.2,,,,3.0,17.4,1956
92,Max Zaslofsky,SG,30,FTW,9,,20.2,3.2,9.0,.358,,,,3.2,9.0,.358,.358,3.3,3.9,.857,,,1.8,1.8,,,,2.0,9.8,1956
1,Forest Able,G,24,SYR,1,,1.0,0.0,2.0,.000,,,,0.0,2.0,.000,.000,0.0,0.0,,,,1.0,1.0,,,,1.0,0.0,1957
2,Paul Arizin*,SF,28,PHW,71,,39.0,8.6,20.4,.422,,,,8.6,20.4,.422,.422,8.3,10.0,.829,,,7.9,2.1,,,,3.9,25.6,1957
3,Bob Armstrong,C-F,23,PHW,19,,5.8,0.6,1.9,.297,,,,0.6,1.9,.297,.297,0.3,0.6,.500,,,2.1,0.2,,,,0.7,1.5,1957
4,Jim Baechtold,SF,29,NYK,45,,10.3,1.7,4.4,.381,,,,1.7,4.4,.381,.381,1.5,2.0,.750,,,1.8,0.7,,,,0.9,4.8,1957
5,John Barber,F,29,STL,5,,3.8,0.4,1.6,.250,,,,0.4,1.6,.250,.250,0.6,1.2,.500,,,1.2,0.0,,,,0.8,1.4,1957
6,Ernie Beck,SG,25,PHW,72,,24.2,2.7,7.1,.384,,,,2.7,7.1,.384,.384,1.5,2.2,.707,,,4.3,2.6,,,,2.2,7.0,1957
7,Irv Bemoras,SF,26,STL,62,,15.9,2.0,6.2,.322,,,,2.0,6.2,.322,.322,1.1,1.7,.680,,,2.0,0.7,,,,1.2,5.1,1957
8,Gary Bergen,C,24,NYK,6,,6.7,0.5,1.8,.273,,,,0.5,1.8,.273,.273,0.3,0.3,1.000,,,1.3,0.2,,,,0.7,1.3,1957
